observed_at,published_time,gold_mjdta,silver_mjdta,source
2026-09-19T20:06:43.157325+05:30,Time : 09:29 am,14285.0,260.0,KJPL
2026-09-19T20:21:45.493719+05:30,Time : 09:29 am,14285.0,260.0,KJPL
2026-09-20T15:30:56.408893+05:30,Time : 09:29 am,14285.0,260.0,KJPL
2026-09-20T21:51:34.353458+05:30,Time : 09:29 am,14285.0,260.0,KJPL
2026-09-21T16:30:00.344286+05:30,Time : 09:29 am,14270.0,260.0,KJPL
2026-09-21T23:45:34.590252+05:30,Time : 09:29 am,14270.0,260.0,KJPL
2026-09-22T15:44:43.589343+05:30,Time : 09:37 am,14185.0,255.0,KJPL
2026-09-22T22:37:40.547721+05:30,Time : 09:37 am,14185.0,255.0,KJPL
2026-09-23T15:44:00.214175+05:30,Time : 09:38 am,14135.0,255.0,KJPL
2026-09-23T22:50:54.736762+05:30,Time : 09:38 am,14135.0,255.0,KJPL
2026-09-24T15:54:46.534352+05:30,Time : 09:33 am,14000.0,250.0,KJPL
2026-09-24T22:55:55.834715+05:30,Time : 09:33 am,14000.0,250.0,KJPL
